| Alg | arg | cr | dp | t50 | t95 | t99 | r50 | r95 | r99 |
| Naive | 5 | 1 | 0.60 | 12.03 | 48.27 | 77.26 | 1.03 | 1.31 | 1.33 |
| Naive | 10 | 1 | 0.62 | 10.30 | 44.01 | 64.49 | 1.06 | 2.39 | 2.75 |
| Naive | 30 | 1 | 0.45 | 9.99 | 50.84 | 127.55 | 0.82 | 2.22 | 3.00 |
| Naive | 60 | 1 | 0.52 | 14.82 | 41.78 | 85.20 | 0.55 | 2.39 | 3.10 |
| LP | 1 | 1 | 72.35 | 26.84 | 94.34 | 208.41 | 0.95 | 2.63 | 3.74 |
| LP | 2 | 1 | 69.88 | 31.16 | 124.60 | 205.45 | 0.73 | 2.85 | 3.95 |
| LP | 5 | 1 | 68.11 | 46.05 | 147.13 | 216.17 | 1.07 | 2.93 | 4.03 |
| LP | 10 | 1 | 70.45 | 56.14 | 170.78 | 279.25 | 0.84 | 2.94 | 3.43 |
| Naive | 5 | 10 | 91.11 | 21.83 | 70.06 | 2988.00 | 0.45 | 1.80 | 2.43 |
| Naive | 10 | 10 | 66.31 | 21.88 | 85.53 | 186.11 | 0.72 | 2.10 | 3.05 |
| Naive | 30 | 10 | 63.33 | 28.69 | 123.22 | 224.55 | 0.50 | 1.96 | 3.31 |
| Naive | 60 | 10 | 61.29 | 38.06 | 184.57 | 294.29 | 0.37 | 1.76 | 2.50 |
| LP | 1 | 10 | 9.87 | 118.38 | 884.10 | 1791.08 | 0.46 | 2.25 | 3.09 |
| LP | 2 | 10 | 9.59 | 134.40 | 509.99 | 885.62 | 0.87 | 2.68 | 3.55 |
| LP | 5 | 10 | 9.89 | 163.52 | 517.34 | 850.96 | 0.95 | 2.75 | 3.63 |
| LP | 10 | 10 | 10.20 | 194.99 | 649.05 | 963.60 | 0.95 | 2.77 | 3.67 |
| Naive | 5 | 20 | 79.65 | 22.23 | 85.50 | 634.87 | 0.77 | 2.05 | 3.39 |
| Naive | 10 | 20 | 58.45 | 30.15 | 119.94 | 243.01 | 0.48 | 1.99 | 2.93 |
| Naive | 30 | 20 | 57.80 | 54.75 | 184.88 | 332.83 | 0.39 | 1.55 | 2.65 |
| Naive | 60 | 20 | 56.55 | 48.99 | 227.47 | 389.96 | 0.31 | 1.37 | 2.06 |
| LP | 1 | 20 | 5.00 | 206.74 | 1849.83 | 4168.73 | 0.28 | 1.87 | 2.97 |
| LP | 2 | 20 | 4.97 | 191.31 | 719.64 | 1115.07 | 0.88 | 2.71 | 3.62 |
| LP | 5 | 20 | 4.83 | 272.87 | 788.66 | 1172.05 | 0.94 | 2.77 | 3.61 |
| LP | 10 | 20 | 4.70 | 385.87 | 1033.89 | 1423.83 | 0.93 | 2.80 | 3.63 |
